constIndex:675|decal_logo_research|localPosition.x:0050.01389|localPosition.y:-0028.03895|localPosition.z:-0014.75940|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:582|prop_shelves|localPosition.x:0044.81689|localPosition.y:-0029.76895|localPosition.z:0039.92060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:557|prop_desk01|localPosition.x:0043.36189|localPosition.y:-0029.42720|localPosition.z:0033.11378|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:548|prop_computer|localPosition.x:0053.62989|localPosition.y:-0028.39246|localPosition.z:0025.92760|localRotation.x:0000.00000|localRotation.y:-0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:586|prop_table|localPosition.x:0053.63089|localPosition.y:-0029.42720|localPosition.z:0025.61660|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01|localPosition.x:0069.04990|localPosition.y:-0029.42721|localPosition.z:-0004.98340|localRotation.x:-0000.50000|localRotation.y:-0000.50000|localRotation.z:-0000.50000|localRotation.w:0000.50000|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:547|prop_clothes|localPosition.x:0043.24889|localPosition.y:-0029.42729|localPosition.z:0041.34274|localRotation.x:-0000.49991|localRotation.y:0000.50009|localRotation.z:0000.49991|localRotation.w:0000.50009|localScale.x:0016.26871|localScale.y:0016.26810|localScale.z:0016.26870
constIndex:541|prop_chair02 (32)|localPosition.x:-0019.93611|localPosition.y:-0031.33762|localPosition.z:0022.19060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:541|prop_chair02 (28)|localPosition.x:-0010.13611|localPosition.y:-0031.33762|localPosition.z:0022.19060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:591|prop_xray (1)|localPosition.x:-0020.09711|localPosition.y:-0029.74561|localPosition.z:-0002.05540|localRotation.x:-0000.65328|localRotation.y:0000.27060|localRotation.z:0000.27060|localRotation.w:0000.65328|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
